Country Name,Series Name,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Ukraine,Tax revenue (% of GDP),17.63331542,16.89868434,17.29434784,20.45136542,19.63011981,20.0523677,20.14255251,19.1961401,19.1514003,19.08232277,16.69150738
Ukraine,Military expenditure (% of GDP),2.353451977,2.392895308,2.967368259,3.847848476,3.668617869,3.241492915,3.63516608,4.06793765,4.400314703,3.425491996,25.87994357
Ukraine,Mobile cellular subscriptions (per 100 people),130.859,138.441,144.279,142.003,133.169,131.357,127.754,130.629,129.341,135.026,120.261
Ukraine,High-technology exports (% of manufactured exports),6.471936107,6.146130326,6.887543429,8.03896422,6.678941231,6.165929096,5.424951741,5.480148727,5.852393845,4.510507923,5.736135656
Ukraine,Merchandise trade (% of GDP),83.88604457,74.08182703,81.14446307,83.09699637,80.99330067,82.85625971,79.85570398,72.03782469,66.10299184,70.54058201,61.37927908
Ukraine,Net barter terms of trade index (2015 = 100),113.5,113.1,109.1,100,99.8,101.5,101,100.9,106,126,99.4
Ukraine,"External debt stocks, total (DOD, current US$)",1.33747E+11,1.46936E+11,1.27657E+11,1.18566E+11,1.16342E+11,1.24415E+11,1.22566E+11,1.25725E+11,1.33406E+11,1.36908E+11,1.43318E+11
Ukraine,"Total debt service (% of exports of goods, services and primary income)",31.35015691,42.29866175,29.70649475,55.39037229,23.43401849,20.89745352,20.78246822,18.15621515,23.87309395,15.17653543,15.557221
Ukraine,Net migration,66768,26781,-65678,-21992,-31340,-36155,-32220,-6908,-4167,-1129,-5699445
Ukraine,"Personal remittances, received (current US$)",8449000000,9667000000,7354000000,8474000000,9472000000,12132000000,14694000000,15788000000,15213000000,18060000000,16783000000
Ukraine,"Foreign direct investment, net inflows (BoP, current US$)",8175000000,4509000000,847000000,-198000000,4128000000,3680000000,4975000000,5796000000,304000000,7954000000,221000000
Ukraine,Net official development assistance and official aid received (current US$),772059997.6,790739990.2,1403819946,1449349976,1523319946,1180660034,1223209961,1119680054,2337570068,2214540039,28732429688
